state,district,year,iso_week,tmax_mean,tmin_mean,precip_sum,rain_days,dry_days,wind_max_mean,wind_calm_days,et0_sum,n_days
Haryana,Faridabad,2014,39,35.5,24.74285714285714,0.0,0,7,16.714285714285715,0,43.21,7
Haryana,Faridabad,2014,40,35.385714285714286,23.785714285714285,0.1,0,7,11.442857142857141,2,33.47,7
Haryana,Faridabad,2014,41,34.542857142857144,22.314285714285713,0.8999999999999999,0,5,11.471428571428572,0,35.54,7
Haryana,Faridabad,2014,42,30.271428571428572,18.47142857142857,3.8000000000000003,1,5,11.742857142857144,3,29.09,7
Haryana,Faridabad,2014,43,31.67142857142857,19.942857142857143,1.1,1,6,9.828571428571427,5,27.87,7
Haryana,Faridabad,2014,44,30.857142857142858,18.87142857142857,0.4,0,5,10.942857142857141,4,28.619999999999997,7
Haryana,Faridabad,2014,45,31.02857142857143,18.257142857142856,0.0,0,7,13.885714285714286,1,29.689999999999998,7
Haryana,Faridabad,2014,46,27.857142857142858,13.742857142857144,0.0,0,7,13.142857142857142,0,30.490000000000002,7
Haryana,Faridabad,2014,47,27.12857142857143,12.114285714285714,0.0,0,7,10.557142857142859,2,25.830000000000002,7
Haryana,Faridabad,2014,48,27.142857142857142,13.285714285714286,0.0,0,7,11.671428571428573,2,23.83,7
Haryana,Faridabad,2015,36,34.63333333333333,24.5,0.0,0,6,16.650000000000002,0,34.87,6
Haryana,Faridabad,2015,37,35.34285714285714,23.3,0.0,0,7,14.185714285714285,2,39.65,7
Haryana,Faridabad,2015,38,34.542857142857144,25.342857142857145,37.7,3,3,11.700000000000001,1,30.87,7
Haryana,Faridabad,2015,39,32.1,23.74285714285714,10.299999999999999,2,3,14.914285714285715,0,31.020000000000003,7
Haryana,Faridabad,2015,40,33.785714285714285,20.25714285714286,0.0,0,7,12.042857142857143,1,35.79,7
Haryana,Faridabad,2015,41,35.4,21.32857142857143,0.0,0,7,14.642857142857142,1,37.92,7
Haryana,Faridabad,2015,42,33.371428571428574,22.228571428571428,8.100000000000001,1,5,10.9,3,29.79,7
Haryana,Faridabad,2015,43,32.857142857142854,19.8,0.39999999999999997,0,6,11.328571428571427,3,31.64,7
Haryana,Faridabad,2015,44,28.52857142857143,17.142857142857142,13.9,2,5,11.200000000000001,4,23.39,7
Haryana,Faridabad,2015,45,28.52857142857143,18.157142857142855,0.7,0,5,9.357142857142858,6,21.19,7
Haryana,Faridabad,2015,46,29.285714285714285,17.214285714285715,0.4,0,6,11.385714285714286,3,25.86,7
Haryana,Faridabad,2015,47,27.2,13.414285714285715,0.0,0,7,10.157142857142857,4,24.1,7
Haryana,Faridabad,2015,48,26.442857142857143,13.7,0.5,0,6,10.685714285714285,3,21.86,7
